HUD frame time nsec:,32284000

Range Index,Elapsed Time, First Event,Last Event
0,7072,5,5
1,1312,14,14
2,12640,20,20
3,1216,29,29
4,147328,35,35
5,204096,63,63
6,3680,84,84
7,89408,101,101
8,12275264,107,107

Range Index,Elapsed Time, First Event,Last Event
0,7072,5,5
1,1248,14,14
2,9984,20,20
3,1216,29,29
4,151296,35,35
5,205632,63,63
6,2272,84,84
7,89856,101,101
8,11354048,107,107

Range Index,Elapsed Time, First Event,Last Event
0,7008,5,5
1,1376,14,14
2,5472,20,20
3,2112,29,29
4,155424,35,35
5,211520,63,63
6,3840,84,84
7,86912,101,101
8,11035328,107,107

Range Index,Elapsed Time, First Event,Last Event
0,12544,5,5
1,2112,14,14
2,21120,20,20
3,2112,29,29
4,12194016,32,32
